安定门	40.0001138601	116.429866795
安贞	39.9799815031	116.40795883
奥林匹克公园	40.0012104745	116.399126927
北苑	40.0456305865	116.428069585
北工大	39.9589531664	116.521694891
百子湾	39.9068707246	116.480411931
成寿寺	39.8585816088	116.443453736
常营	39.9339953748	116.58837042
朝阳门外	39.933903906	116.448239999
CBD	39.9589531664	116.521694891
朝青	39.9589531664	116.521694891
朝阳公园	40.007113347	116.395613597
东直门	39.9371624454	116.449649973
东坝	39.9736928417	116.56540295
大望路	39.9218276403	116.481599221
东大桥	39.9290061091	116.458530196
大山子	39.9903485624	116.494880039
豆各庄	39.947226946	116.513450755
定福庄	39.9223342518	116.560973375
方庄	39.9288136317	116.508021081
垡头	39.8647122248	116.522125925
广渠门	39.877968419	116.451922772
工体	39.9353888925	116.449872192
高碑店	39.9589531664	116.521694891
国展	39.9672898902	116.449021453
甘露园	39.9240595688	116.517292789
管庄	39.9200289445	116.596515582
和平里	39.9610196529	116.427109283
欢乐谷	39.8729988547	116.496647874
惠新西街	39.9896721796	116.423653557
红庙	39.9237844737	116.487806782
华威桥	39.8770574718	116.467568343
健翔桥	39.9935926757	116.385891689
酒仙桥	39.994358272	116.496974618
劲松	39.888495202	116.457353057
建国门外	39.9129126408	116.454169331
立水桥	40.0530241236	116.418464964
马甸	39.9757157739	116.385234845
农展馆	39.9420697125	116.47230625
南沙滩	40.0037005197	116.380180478
潘家园	39.8834175757	116.456448962
三元桥	39.963255816	116.460972403
芍药居	39.988028493	116.44157306
石佛营	39.9417678777	116.512672718
十里堡	39.9299809849	116.616323011
首都机场	40.0624853721	116.599267092
双井	39.9049565979	116.455560039
十里河	39.8756179574	116.450960616
十八里店	39.8437183413	116.475634453
双桥	39.9589531664	116.521694891
三里屯	39.9427969903	116.453711007
四惠	39.9116658777	116.514631082
通州北苑	39.9070840174	116.646922024
团结湖	39.9312121808	116.476694981
太阳宫	39.9781364537	116.451255629
甜水园	39.9578469183	116.470909309
望京	40.0024100852	116.489346604
西坝河	39.9776393315	116.459351787
亚运村	40.0026246558	116.41913932
亚运村小营	39.9989780229	116.429906141
燕莎	39.9611747705	116.479912386
中央别墅区	40.0910870548	116.532993974
奥林匹克公园	40.0012104745	116.399126927
安宁庄	40.0503131961	116.328861054
白石桥	39.9519395189	116.332443406
北太平庄	39.9728661225	116.373379119
厂洼	39.9627505431	116.312184065
定慧寺	39.9311498817	116.285713913
二里庄	40.0000133232	116.373454769
公主坟	40.0048162876	116.2009443
甘家口	39.930976773	116.335114939
海淀北部新区	40.0331620451	116.239677801
军博	39.9120610293	116.333634649
六里桥	39.8906066487	116.318063271
牡丹园	40.0067063059	116.214351986
马甸	39.9757157739	116.385234845
马连洼	40.0421652593	116.311697785
清河	40.0331620451	116.239677801
苏州桥	39.9682731242	116.314721119
上地	40.0411687995	116.321306255
世纪城	39.9653859468	116.291110663
四季青	39.9624635673	116.29464036
双榆树	39.9817119904	116.331523811
田村	39.9364590243	116.268543069
五道口	39.9910417686	116.346354784
魏公村	39.9612526603	116.325681885
五棵松	39.9210903312	116.282525471
万柳	40.0038108766	116.264051024
万寿路	39.9166334679	116.301315751
西山	40.0331620451	116.239677801
西三旗	40.0672255462	116.368105691
西北旺	40.0473288874	116.27202542
学院路	39.9949498248	116.360100661
小西天	39.9363690199	116.391290034
西直门	39.9474598264	116.35976447
新街口	40.0594559079	116.31070073
西二旗	40.0614897365	116.315052934
杨庄	39.9291588872	116.201425727
玉泉路	39.9218836069	116.259636072
圆明园	40.0150092868	116.303373961
颐和园	39.9979883712	116.27736911
知春路	39.9822079562	116.341770476
皂君庙	39.9691040767	116.347622668
中关村	40.0800959304	116.255002554
紫竹桥	39.9476383829	116.316273273
滨河西区	39.9400213484	116.117984152
城子	39.9582747185	116.10750564
大峪	39.9421042176	116.109708465
冯村	39.913260833	116.11336498
石门营	39.8965734589	116.114428488
北关	39.8098148839	116.740079181
果园	39.8615650696	116.66929881
九棵树	39.8927475846	116.671050327
潞苑	39.8098148839	116.740079181
梨园	39.8866547962	116.684354044
临河里	39.8801578541	116.694821439
马驹桥	39.7727927022	116.596786242
乔庄	39.9006707221	116.692969699
首都机场	39.8098148839	116.740079181
通州北苑	39.9070840174	116.646922024
武夷花园	39.9198223724	116.701664926
新华大街	39.9144302994	116.682284355
亦庄	39.8105548129	116.536898163
玉桥	39.9025862365	116.687846573
马驹桥	39.8105548129	116.536898163
亦庄	39.8105548129	116.536898163
大兴开发区	39.6527901184	116.425194597
观音寺	39.7329666849	116.35772923
高米店南	39.7733814109	116.347621484
黄村火车站	39.726571096	116.33801919
黄村北	39.6791809948	116.375673042
黄村中	39.6791809948	116.375673042
和义	39.8241163737	116.406473931
旧宫	39.8123870395	116.453097335
科技园区	39.6527901184	116.425194597
天宫院	39.684622277	116.332578511
西红门	39.7546151228	116.398381097
瀛海	39.7625851784	116.452455495
亦庄	39.8283326135	116.527543056
郁花园	39.7813244745	116.34190546
枣园	39.7588245651	116.340682036
